snippet,key_factor,version,prompt,tests_passed,tests_failed,tests_errors,man_tests_passed,man_tests_failed,man_tests_errors,Note
ADFGVXCipher,KF1,v5,pKF1,4,0,0,,,,
ADFGVXCipher,KF1,v5,pKF2,4,0,0,,,,
ADFGVXCipher,KF2,v0,nop,4,0,0,,,,
ADFGVXCipher,KF2,v1,pKF0,4,0,0,,,,
ADFGVXCipher,KF2,v1,pKF1,4,0,0,,,,
ADFGVXCipher,KF2,v1,pKF2,4,0,0,,,,
ADFGVXCipher,KF2,v2,pKF0,4,0,0,,,,
ADFGVXCipher,KF2,v2,pKF1,4,0,0,,,,
ADFGVXCipher,KF2,v2,pKF2,4,0,0,,,,
ADFGVXCipher,KF2,v3,pKF0,4,0,0,,,,
ADFGVXCipher,KF2,v3,pKF1,4,0,0,,,,
ADFGVXCipher,KF2,v3,pKF2,4,0,0,,,,
ADFGVXCipher,KF2,v4,pKF0,4,0,0,,,,
ADFGVXCipher,KF2,v4,pKF1,4,0,0,,,,
ADFGVXCipher,KF2,v4,pKF2,3,0,1,,,,
ADFGVXCipher,KF2,v5,pKF0,4,0,0,,,,
ADFGVXCipher,KF2,v5,pKF1,4,0,0,,,,
ADFGVXCipher,KF2,v5,pKF2,3,0,1,,,,
AESEncryption,KF0,v0,nop,5,0,0,,,,
AESEncryption,KF0,v1,pKF0,,,,,,,
AESEncryption,KF0,v1,pKF1,5,0,0,,,,
AESEncryption,KF0,v1,pKF2,5,0,0,,,,
AESEncryption,KF0,v2,pKF0,,,,,,,
AESEncryption,KF0,v2,pKF1,5,0,0,,,,
AESEncryption,KF0,v2,pKF2,,,,,,,
AESEncryption,KF0,v3,pKF0,,,,,,,
AESEncryption,KF0,v3,pKF1,5,0,0,,,,
AESEncryption,KF0,v3,pKF2,,,,,,,
AESEncryption,KF0,v4,pKF0,,,,,,,
AESEncryption,KF0,v4,pKF1,5,0,0,,,,
AESEncryption,KF0,v4,pKF2,,,,,,,
AESEncryption,KF0,v5,pKF0,,,,,,,
AESEncryption,KF0,v5,pKF1,5,0,0,,,,
AESEncryption,KF0,v5,pKF2,,,,,,,
AESEncryption,KF1,v0,nop,5,0,0,,,,
AESEncryption,KF1,v1,pKF0,5,0,0,,,,
AESEncryption,KF1,v1,pKF1,5,0,0,,,,
AESEncryption,KF1,v1,pKF2,5,0,0,,,,
AESEncryption,KF1,v2,pKF0,5,0,0,,,,
AESEncryption,KF1,v2,pKF1,5,0,0,,,,
AESEncryption,KF1,v2,pKF2,5,0,0,,,,
AESEncryption,KF1,v3,pKF0,5,0,0,,,,
AESEncryption,KF1,v3,pKF1,5,0,0,,,,
AESEncryption,KF1,v3,pKF2,5,0,0,,,,
AESEncryption,KF1,v4,pKF0,5,0,0,,,,
AESEncryption,KF1,v4,pKF1,5,0,0,,,,
AESEncryption,KF1,v4,pKF2,5,0,0,,,,
AESEncryption,KF1,v5,pKF0,5,0,0,,,,
AESEncryption,KF1,v5,pKF1,5,0,0,,,,
AESEncryption,KF1,v5,pKF2,5,0,0,,,,
AESEncryption,KF2,v0,nop,5,0,0,,,,
AESEncryption,KF2,v1,pKF0,5,0,0,,,,
AESEncryption,KF2,v1,pKF1,5,0,0,,,,
AESEncryption,KF2,v1,pKF2,5,0,0,,,,
AESEncryption,KF2,v2,pKF0,5,0,0,,,,
AESEncryption,KF2,v2,pKF1,5,0,0,,,,
AESEncryption,KF2,v2,pKF2,5,0,0,,,,
AESEncryption,KF2,v3,pKF0,3,0,2,,,,
AESEncryption,KF2,v3,pKF1,5,0,0,,,,
AESEncryption,KF2,v3,pKF2,5,0,0,,,,
AESEncryption,KF2,v4,pKF0,3,0,2,,,,
AESEncryption,KF2,v4,pKF1,5,0,0,,,,
AESEncryption,KF2,v4,pKF2,5,0,0,,,,
AESEncryption,KF2,v5,pKF0,3,0,2,,,,
AESEncryption,KF2,v5,pKF1,5,0,0,,,,
AESEncryption,KF2,v5,pKF2,5,0,0,,,,
AgingScheduling,KF0,v0,nop,5,0,0,,,,
AgingScheduling,KF0,v1,pKF0,5,0,0,,,,
AgingScheduling,KF0,v1,pKF1,5,0,0,,,,
AgingScheduling,KF0,v1,pKF2,5,0,0,,,,
AgingScheduling,KF0,v2,pKF0,5,0,0,,,,
AgingScheduling,KF0,v2,pKF1,5,0,0,,,,
AgingScheduling,KF0,v2,pKF2,5,0,0,,,,
AgingScheduling,KF0,v3,pKF0,5,0,0,,,,
AgingScheduling,KF0,v3,pKF1,5,0,0,,,,
AgingScheduling,KF0,v3,pKF2,5,0,0,,,,
AgingScheduling,KF0,v4,pKF0,5,0,0,,,,
AgingScheduling,KF0,v4,pKF1,5,0,0,,,,
AgingScheduling,KF0,v4,pKF2,5,0,0,,,,
AgingScheduling,KF0,v5,pKF0,5,0,0,,,,
AgingScheduling,KF0,v5,pKF1,5,0,0,,,,
AgingScheduling,KF0,v5,pKF2,5,0,0,,,,
AgingScheduling,KF1,v0,nop,5,0,0,,,,
AgingScheduling,KF1,v1,pKF0,5,0,0,,,,
AgingScheduling,KF1,v1,pKF1,5,0,0,,,,
AgingScheduling,KF1,v1,pKF2,5,0,0,,,,
AgingScheduling,KF1,v2,pKF0,5,0,0,,,,
AgingScheduling,KF1,v2,pKF1,5,0,0,,,,
AgingScheduling,KF1,v2,pKF2,5,0,0,,,,
AgingScheduling,KF1,v3,pKF0,5,0,0,,,,
AgingScheduling,KF1,v3,pKF1,5,0,0,,,,
AgingScheduling,KF1,v3,pKF2,5,0,0,,,,
AgingScheduling,KF1,v4,pKF0,5,0,0,,,,
AgingScheduling,KF1,v4,pKF1,5,0,0,,,,
AgingScheduling,KF1,v4,pKF2,5,0,0,,,,
AgingScheduling,KF1,v5,pKF0,5,0,0,,,,
AgingScheduling,KF1,v5,pKF1,5,0,0,,,,
AgingScheduling,KF1,v5,pKF2,5,0,0,,,,
AgingScheduling,KF2,v0,nop,5,0,0,,,,
AgingScheduling,KF2,v1,pKF0,5,0,0,,,,
AgingScheduling,KF2,v1,pKF1,5,0,0,,,,
AgingScheduling,KF2,v1,pKF2,5,0,0,,,,
AgingScheduling,KF2,v2,pKF0,5,0,0,,,,
AgingScheduling,KF2,v2,pKF1,5,0,0,,,,
AgingScheduling,KF2,v2,pKF2,5,0,0,,,,
AgingScheduling,KF2,v3,pKF0,5,0,0,,,,
AgingScheduling,KF2,v3,pKF1,5,0,0,,,,
AgingScheduling,KF2,v3,pKF2,5,0,0,,,,
AgingScheduling,KF2,v4,pKF0,5,0,0,,,,
AgingScheduling,KF2,v4,pKF1,5,0,0,,,,
AgingScheduling,KF2,v4,pKF2,5,0,0,,,,
AgingScheduling,KF2,v5,pKF0,5,0,0,,,,
AgingScheduling,KF2,v5,pKF1,5,0,0,,,,
AgingScheduling,KF2,v5,pKF2,5,0,0,,,,
AllConstruct,KF0,v0,nop,4,0,0,,,,
AllConstruct,KF0,v1,pKF0,4,0,0,,,,
AllConstruct,KF0,v1,pKF1,4,0,0,,,,
AllConstruct,KF0,v1,pKF2,4,0,0,,,,
AllConstruct,KF0,v2,pKF0,4,0,0,,,,
AllConstruct,KF0,v2,pKF1,4,0,0,,,,
AllConstruct,KF0,v2,pKF2,4,0,0,,,,
AllConstruct,KF0,v3,pKF0,4,0,0,,,,
AllConstruct,KF0,v3,pKF1,4,0,0,,,,
AllConstruct,KF0,v3,pKF2,4,0,0,,,,
AllConstruct,KF0,v4,pKF0,4,0,0,,,,
AllConstruct,KF0,v4,pKF1,4,0,0,,,,
AllConstruct,KF0,v4,pKF2,4,0,0,,,,
AllConstruct,KF0,v5,pKF0,4,0,0,,,,
AllConstruct,KF0,v5,pKF1,4,0,0,,,,
AllConstruct,KF0,v5,pKF2,4,0,0,,,,
AllConstruct,KF1,v0,nop,4,0,0,,,,
AllConstruct,KF1,v1,pKF0,4,0,0,,,,
AllConstruct,KF1,v1,pKF1,4,0,0,,,,
AllConstruct,KF1,v1,pKF2,4,0,0,,,,
AllConstruct,KF1,v2,pKF0,4,0,0,,,,
AllConstruct,KF1,v2,pKF1,4,0,0,,,,
AllConstruct,KF1,v2,pKF2,4,0,0,,,,
AllConstruct,KF1,v3,pKF0,4,0,0,,,,
AllConstruct,KF1,v3,pKF1,4,0,0,,,,
AllConstruct,KF1,v3,pKF2,4,0,0,,,,
AllConstruct,KF1,v4,pKF0,4,0,0,,,,
AllConstruct,KF1,v4,pKF1,4,0,0,,,,
AllConstruct,KF1,v4,pKF2,4,0,0,,,,
AllConstruct,KF1,v5,pKF0,4,0,0,,,,
AllConstruct,KF1,v5,pKF1,4,0,0,,,,
AllConstruct,KF1,v5,pKF2,4,0,0,,,,
AllConstruct,KF2,v0,nop,4,0,0,,,,
AllConstruct,KF2,v1,pKF0,4,0,0,,,,
AllConstruct,KF2,v1,pKF1,4,0,0,,,,
AllConstruct,KF2,v1,pKF2,4,0,0,,,,
AllConstruct,KF2,v2,pKF0,4,0,0,,,,
AllConstruct,KF2,v2,pKF1,4,0,0,,,,
AllConstruct,KF2,v2,pKF2,4,0,0,,,,
AllConstruct,KF2,v3,pKF0,4,0,0,,,,
AllConstruct,KF2,v3,pKF1,4,0,0,,,,
AllConstruct,KF2,v3,pKF2,4,0,0,,,,
AllConstruct,KF2,v4,pKF0,4,0,0,,,,
AllConstruct,KF2,v4,pKF1,4,0,0,,,,
AllConstruct,KF2,v4,pKF2,4,0,0,,,,
AllConstruct,KF2,v5,pKF0,4,0,0,,,,
AllConstruct,KF2,v5,pKF1,4,0,0,,,,
AllConstruct,KF2,v5,pKF2,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v0,nop,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v1,pKF0,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v1,pKF1,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v1,pKF2,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v2,pKF0,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v2,pKF1,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v2,pKF2,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v3,pKF0,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v3,pKF1,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v3,pKF2,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v4,pKF0,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v4,pKF1,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v4,pKF2,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v5,pKF0,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v5,pKF1,4,0,0,,,,
AllPathsFromSourceToTarget,KF0,v5,pKF2,4,0,0,,,,
AllPathsFromSourceToTarget,KF1,v0,nop,,,,,,,
AllPathsFromSourceToTarget,KF1,v1,pKF0,,,,,,,
AllPathsFromSourceToTarget,KF1,v1,pKF1,,,,,,,
AllPathsFromSourceToTarget,KF1,v1,pKF2,,,,,,,
AllPathsFromSourceToTarget,KF1,v2,pKF0,,,,,,,
AllPathsFromSourceToTarget,KF1,v2,pKF1,,,,,,,
AllPathsFromSourceToTarget,KF1,v2,pKF2,,,,,,,
AllPathsFromSourceToTarget,KF1,v3,pKF0,,,,,,,
AllPathsFromSourceToTarget,KF1,v3,pKF1,,,,,,,
AllPathsFromSourceToTarget,KF1,v3,pKF2,,,,,,,
AllPathsFromSourceToTarget,KF1,v4,pKF0,,,,,,,
AllPathsFromSourceToTarget,KF1,v4,pKF1,,,,,,,
AllPathsFromSourceToTarget,KF1,v4,pKF2,,,,,,,
AllPathsFromSourceToTarget,KF1,v5,pKF0,,,,,,,
AllPathsFromSourceToTarget,KF1,v5,pKF1,,,,,,,
AllPathsFromSourceToTarget,KF1,v5,pKF2,,,,,,,
AllPathsFromSourceToTarget,KF2,v0,nop,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v1,pKF0,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v1,pKF1,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v1,pKF2,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v2,pKF0,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v2,pKF1,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v2,pKF2,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v3,pKF0,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v3,pKF1,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v3,pKF2,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v4,pKF0,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v4,pKF1,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v4,pKF2,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v5,pKF0,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v5,pKF1,4,0,0,,,,
AllPathsFromSourceToTarget,KF2,v5,pKF2,4,0,0,,,,
AmicableNumber,KF0,v0,nop,4,0,0,,,,
AmicableNumber,KF0,v1,pKF0,4,0,0,,,,
AmicableNumber,KF0,v1,pKF1,4,0,0,,,,
AmicableNumber,KF0,v1,pKF2,4,0,0,,,,
AmicableNumber,KF0,v2,pKF0,4,0,0,,,,
AmicableNumber,KF0,v2,pKF1,4,0,0,,,,
AmicableNumber,KF0,v2,pKF2,4,0,0,,,,
AmicableNumber,KF0,v3,pKF0,4,0,0,,,,
AmicableNumber,KF0,v3,pKF1,4,0,0,,,,
AmicableNumber,KF0,v3,pKF2,4,0,0,,,,
AmicableNumber,KF0,v4,pKF0,4,0,0,,,,
AmicableNumber,KF0,v4,pKF1,4,0,0,,,,
AmicableNumber,KF0,v4,pKF2,2,2,0,4,0,0,Hardcoded error message rephrased
AmicableNumber,KF0,v5,pKF0,4,0,0,,,,
AmicableNumber,KF0,v5,pKF1,4,0,0,,,,
AmicableNumber,KF0,v5,pKF2,2,2,0,4,0,0,Hardcoded error message rephrased
AmicableNumber,KF1,v0,nop,,,,,,,
AmicableNumber,KF1,v1,pKF0,,,,,,,
AmicableNumber,KF1,v1,pKF1,,,,,,,
AmicableNumber,KF1,v1,pKF2,,,,,,,
AmicableNumber,KF1,v2,pKF0,,,,,,,
AmicableNumber,KF1,v2,pKF1,,,,,,,
AmicableNumber,KF1,v2,pKF2,,,,,,,
AmicableNumber,KF1,v3,pKF0,,,,,,,
AmicableNumber,KF1,v3,pKF1,,,,,,,
AmicableNumber,KF1,v3,pKF2,,,,,,,
AmicableNumber,KF1,v4,pKF0,,,,,,,
AmicableNumber,KF1,v4,pKF1,,,,,,,
AmicableNumber,KF1,v4,pKF2,,,,,,,
AmicableNumber,KF1,v5,pKF0,,,,,,,
AmicableNumber,KF1,v5,pKF1,,,,,,,
AmicableNumber,KF1,v5,pKF2,,,,,,,
AmicableNumber,KF2,v0,nop,4,0,0,,,,
AmicableNumber,KF2,v1,pKF0,4,0,0,,,,
AmicableNumber,KF2,v1,pKF1,4,0,0,,,,
AmicableNumber,KF2,v1,pKF2,4,0,0,,,,
AmicableNumber,KF2,v2,pKF0,4,0,0,,,,
AmicableNumber,KF2,v2,pKF1,4,0,0,,,,
AmicableNumber,KF2,v2,pKF2,4,0,0,,,,
AmicableNumber,KF2,v3,pKF0,4,0,0,,,,
AmicableNumber,KF2,v3,pKF1,4,0,0,,,,
AmicableNumber,KF2,v3,pKF2,4,0,0,,,,
AmicableNumber,KF2,v4,pKF0,2,2,0,4,0,0,Hardcoded error message rephrased
AmicableNumber,KF2,v4,pKF1,4,0,0,,,,
AmicableNumber,KF2,v4,pKF2,4,0,0,,,,
AmicableNumber,KF2,v5,pKF0,2,2,0,4,0,0,Hardcoded error message rephrased
AmicableNumber,KF2,v5,pKF1,4,0,0,,,,
AmicableNumber,KF2,v5,pKF2,2,2,0,4,0,0,Hardcoded error message rephrased
Anagrams,KF0,v0,nop,0,0,0,,,,
Anagrams,KF0,v1,pKF0,0,0,0,,,,
Anagrams,KF0,v1,pKF1,0,0,0,,,,
Anagrams,KF0,v1,pKF2,0,0,0,,,,
Anagrams,KF0,v2,pKF0,0,0,0,,,,
Anagrams,KF0,v2,pKF1,0,0,0,,,,
Anagrams,KF0,v2,pKF2,0,0,0,,,,
Anagrams,KF0,v3,pKF0,0,0,0,,,,
Anagrams,KF0,v3,pKF1,0,0,0,,,,
Anagrams,KF0,v3,pKF2,0,0,0,,,,
Anagrams,KF0,v4,pKF0,0,0,0,,,,
Anagrams,KF0,v4,pKF1,0,0,0,,,,
Anagrams,KF0,v4,pKF2,0,0,0,,,,
Anagrams,KF0,v5,pKF0,0,0,0,,,,
Anagrams,KF0,v5,pKF1,0,0,0,,,,
Anagrams,KF0,v5,pKF2,0,0,0,,,,
Anagrams,KF1,v0,nop,0,0,0,,,,
Anagrams,KF1,v1,pKF0,0,0,0,,,,
Anagrams,KF1,v1,pKF1,0,0,0,,,,
Anagrams,KF1,v1,pKF2,0,0,0,,,,
Anagrams,KF1,v2,pKF0,0,0,0,,,,
Anagrams,KF1,v2,pKF1,0,0,0,,,,
Anagrams,KF1,v2,pKF2,0,0,0,,,,
Anagrams,KF1,v3,pKF0,0,0,0,,,,
Anagrams,KF1,v3,pKF1,0,0,0,,,,
Anagrams,KF1,v3,pKF2,0,0,0,,,,
Anagrams,KF1,v4,pKF0,0,0,0,,,,
Anagrams,KF1,v4,pKF1,0,0,0,,,,
Anagrams,KF1,v4,pKF2,0,0,0,,,,
Anagrams,KF1,v5,pKF0,0,0,0,,,,
Anagrams,KF1,v5,pKF1,0,0,0,,,,
Anagrams,KF1,v5,pKF2,0,0,0,,,,
Anagrams,KF2,v0,nop,0,0,0,,,,
Anagrams,KF2,v1,pKF0,0,0,0,,,,
Anagrams,KF2,v1,pKF1,0,0,0,,,,
Anagrams,KF2,v1,pKF2,0,0,0,,,,
Anagrams,KF2,v2,pKF0,0,0,0,,,,
Anagrams,KF2,v2,pKF1,0,0,0,,,,
Anagrams,KF2,v2,pKF2,0,0,0,,,,
Anagrams,KF2,v3,pKF0,0,0,0,,,,
Anagrams,KF2,v3,pKF1,0,0,0,,,,
Anagrams,KF2,v3,pKF2,0,0,0,,,,
Anagrams,KF2,v4,pKF0,0,0,0,,,,
Anagrams,KF2,v4,pKF1,0,0,0,,,,
Anagrams,KF2,v4,pKF2,0,0,0,,,,
Anagrams,KF2,v5,pKF0,0,0,0,,,,
Anagrams,KF2,v5,pKF1,0,0,0,,,,
Anagrams,KF2,v5,pKF2,0,0,0,,,,
AnyBaseToAnyBase,KF0,v0,nop,,,,,,,
AnyBaseToAnyBase,KF0,v1,pKF0,,,,,,,
AnyBaseToAnyBase,KF0,v1,pKF1,,,,,,,
AnyBaseToAnyBase,KF0,v1,pKF2,,,,,,,
AnyBaseToAnyBase,KF0,v2,pKF0,,,,,,,
AnyBaseToAnyBase,KF0,v2,pKF1,,,,,,,
AnyBaseToAnyBase,KF0,v2,pKF2,,,,,,,
AnyBaseToAnyBase,KF0,v3,pKF0,,,,,,,
AnyBaseToAnyBase,KF0,v3,pKF1,,,,,,,
AnyBaseToAnyBase,KF0,v3,pKF2,,,,,,,
AnyBaseToAnyBase,KF0,v4,pKF0,,,,,,,
AnyBaseToAnyBase,KF0,v4,pKF1,,,,,,,
AnyBaseToAnyBase,KF0,v4,pKF2,,,,,,,
AnyBaseToAnyBase,KF0,v5,pKF0,,,,,,,
AnyBaseToAnyBase,KF0,v5,pKF1,,,,,,,
AnyBaseToAnyBase,KF0,v5,pKF2,,,,,,,
AnyBaseToAnyBase,KF1,v0,nop,,,,,,,
AnyBaseToAnyBase,KF1,v1,pKF0,,,,,,,
AnyBaseToAnyBase,KF1,v1,pKF1,,,,,,,
AnyBaseToAnyBase,KF1,v1,pKF2,,,,,,,
AnyBaseToAnyBase,KF1,v2,pKF0,,,,,,,
AnyBaseToAnyBase,KF1,v2,pKF1,,,,,,,
AnyBaseToAnyBase,KF1,v2,pKF2,,,,,,,
AnyBaseToAnyBase,KF1,v3,pKF0,,,,,,,
AnyBaseToAnyBase,KF1,v3,pKF1,,,,,,,
AnyBaseToAnyBase,KF1,v3,pKF2,,,,,,,
AnyBaseToAnyBase,KF1,v4,pKF0,,,,,,,
AnyBaseToAnyBase,KF1,v4,pKF1,,,,,,,
AnyBaseToAnyBase,KF1,v4,pKF2,,,,,,,
AnyBaseToAnyBase,KF1,v5,pKF0,,,,,,,
AnyBaseToAnyBase,KF1,v5,pKF1,,,,,,,
AnyBaseToAnyBase,KF1,v5,pKF2,,,,,,,
AnyBaseToAnyBase,KF2,v0,nop,,,,,,,
AnyBaseToAnyBase,KF2,v1,pKF0,,,,,,,
AnyBaseToAnyBase,KF2,v1,pKF1,,,,,,,
AnyBaseToAnyBase,KF2,v1,pKF2,,,,,,,
AnyBaseToAnyBase,KF2,v2,pKF0,,,,,,,
AnyBaseToAnyBase,KF2,v2,pKF1,,,,,,,
AnyBaseToAnyBase,KF2,v2,pKF2,,,,,,,
AnyBaseToAnyBase,KF2,v3,pKF0,,,,,,,
AnyBaseToAnyBase,KF2,v3,pKF1,,,,,,,
AnyBaseToAnyBase,KF2,v3,pKF2,,,,,,,
AnyBaseToAnyBase,KF2,v4,pKF0,,,,,,,
AnyBaseToAnyBase,KF2,v4,pKF1,,,,,,,
AnyBaseToAnyBase,KF2,v4,pKF2,,,,,,,
AnyBaseToAnyBase,KF2,v5,pKF0,,,,,,,
AnyBaseToAnyBase,KF2,v5,pKF1,,,,,,,
AnyBaseToAnyBase,KF2,v5,pKF2,,,,,,,
AnyBaseToDecimal,KF0,v0,nop,9,0,0,,,,
AnyBaseToDecimal,KF0,v1,pKF0,9,0,0,,,,
AnyBaseToDecimal,KF0,v1,pKF1,9,0,0,,,,
AnyBaseToDecimal,KF0,v1,pKF2,9,0,0,,,,
AnyBaseToDecimal,KF0,v2,pKF0,9,0,0,,,,
AnyBaseToDecimal,KF0,v2,pKF1,9,0,0,,,,
AnyBaseToDecimal,KF0,v2,pKF2,9,0,0,,,,
AnyBaseToDecimal,KF0,v3,pKF0,9,0,0,,,,
AnyBaseToDecimal,KF0,v3,pKF1,9,0,0,,,,
AnyBaseToDecimal,KF0,v3,pKF2,9,0,0,,,,
AnyBaseToDecimal,KF0,v4,pKF0,9,0,0,,,,
AnyBaseToDecimal,KF0,v4,pKF1,9,0,0,,,,
AnyBaseToDecimal,KF0,v4,pKF2,9,0,0,,,,
AnyBaseToDecimal,KF0,v5,pKF0,9,0,0,,,,
AnyBaseToDecimal,KF0,v5,pKF1,9,0,0,,,,
AnyBaseToDecimal,KF0,v5,pKF2,9,0,0,,,,
AnyBaseToDecimal,KF1,v0,nop,9,0,0,,,,
AnyBaseToDecimal,KF1,v1,pKF0,9,0,0,,,,
AnyBaseToDecimal,KF1,v1,pKF1,9,0,0,,,,
AnyBaseToDecimal,KF1,v1,pKF2,9,0,0,,,,
